USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
725053,94728,201309010051.00,990,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,82,70,1009.3,29.84,1004.8,***,***,0,*****,*****,*****,**
725053,94728,201309010151.00,***,***,***,722,***,*,*,*,10,**,**,**,**,**,**,**,**,*,81,70,1010.1,29.86,1005.4,***,***,0,*****,*****,*****,**
725053,94728,201309010251.00,990,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,80,70,1010.4,29.87,1005.8,***,***,0,*****,*****,*****,**
725053,94728,201309010351.00,990,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,79,70,1010.1,29.86,1005.4,***,***,0,*****,*****,*****,**
725053,94728,201309010451.00,990,6,***,48,***,*,*,*,10,**,**,**,**,**,**,**,**,*,79,69,1010.4,29.87,1005.8,86,73,0,*****,*****,*****,**
725053,94728,201309010459.00,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,86,***,*****,*****,0,*****,0
725053,94728,201309010551.00,***,***,***,722,***,*,*,*,10,**,**,**,**,**,**,**,**,*,78,69,1009.7,29.85,1005.1,***,***,0,*****,*****,*****,**
725053,94728,201309010651.00,***,0,***,722,***,*,*,*,10,**,**,**,**,**,**,**,**,*,77,69,1009.8,29.85,1005.1,***,***,0,*****,*****,*****,**
725053,94728,201309010751.00,990,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,77,69,1009.1,29.83,1004.4,***,***,0,*****,*****,*****,**
725053,94728,201309010851.00,990,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,77,70,1009.7,29.85,1005.1,***,***,0,*****,*****,*****,**
725053,94728,201309010951.00,240,5,***,722,***,*,*,*,10,**,**,**,**,**,**,**,**,*,75,69,1009.9,29.85,1005.1,***,***,0,*****,*****,*****,**
725053,94728,201309011051.00,990,5,***,722,***,*,*,*,10,**,**,**,**,**,**,**,**,*,76,69,1010.5,29.87,1005.8,***,***,0,*****,*****,*****,**
725053,94728,201309011151.00,***,0,***,722,***,*,*,*,10,**,**,**,**,**,**,**,**,*,77,69,1010.6,29.87,1005.8,78,75,0,*****,*****,*****,**
725053,94728,201309011236.00,***,0,***,27,***,*,*,*,10,**,**,**,**,**,**,**,**,*,78,70,******,29.88,1006.1,***,***,*****,*****,*****,*****,**
725053,94728,201309011251.00,***,0,***,17,***,*,*,*,10,**,**,**,**,**,**,**,**,*,78,70,1010.8,29.88,1006.1,***,***,0,*****,*****,*****,**
725053,94728,201309011351.00,***,0,***,16,***,*,*,*,9.1,**,**,**,**,**,**,**,**,*,78,71,1010.7,29.88,1006.1,***,***,0,*****,*****,*****,**
725053,94728,201309011438.00,990,3,***,14,***,*,*,*,8,**,**,**,**,**,**,**,**,*,77,71,******,29.89,1006.4,***,***,*****,*****,*****,*****,**
725053,94728,201309011451.00,990,3,***,13,***,*,*,*,7,**,**,**,**,**,**,**,**,*,77,71,1011.1,29.89,1006.4,***,***,0,*****,*****,*****,**
725053,94728,201309011551.00,***,0,***,13,***,*,*,*,6,5,**,**,**,5,**,**,**,*,78,71,1010.9,29.88,1006.1,***,***,0,*****,*****,*****,**
725053,94728,201309011613.00,***,0,***,15,***,*,*,*,6,5,**,**,**,5,**,**,**,*,80,70,******,29.87,1005.8,***,***,*****,*****,*****,*****,**
